 Total Nb of available Diagnostics: ndiagt=   282
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   257 |DWNLWG  |  1 |       |SM P    L1|W/m^2           |Downward Component of Longwave Flux at the Ground (+=dw)
   258 |UPSWG   |  1 |       |SM P    L1|W/m^2           |Upward Shortwave Flux at the Ground (+=up)
   259 |SWCLR   |  5 |       |SM      ML|K/s             |Clear Sky Temp. Tendency due to Shortwave Radiation
   260 |LWCLR   |  5 |       |SM      ML|K/s             |Clear Sky Temp. Tendency due to Longwave  Radiation
   261 |TSRCLR  |  1 |       |SM P    U1|W/m^2           |Clear Sky Top-of-atm. net Shortwave Radiation (+=dw)
   262 |OLRCLR  |  1 |       |SM P    U1|W/m^2           |Clear Sky Outgoing Longwave  Radiation  (+=up)
   263 |SWGCLR  |  1 |       |SM P    L1|W/m^2           |Clear Sky Net Shortwave Radiation at the Ground (+=dw)
   264 |LWGCLR  |  1 |       |SM      L1|W/m^2           |Clear Sky Net Longwave  Radiation at the Ground (+=up)
   265 |UPSWGclr|  1 |       |SM P    L1|W/m^2           |Upward Shortwave Flux at the Ground (+=up)
   266 |UFLUX   |  1 |   267 |UU      L1|N/m^2           |Zonal Wind Surface Stress  (N/m^2)
   267 |VFLUX   |  1 |   266 |VV      L1|N/m^2           |Meridional Wind Surface Stress  (N/m^2)
   268 |dKE_Ustr|  1 |   269 |SU      L1|W/m^2           |KE sink due to Zonal Surf. Stress and Strat. drag (<0)
   269 |dKE_Vstr|  1 |   268 |SV      L1|W/m^2           |KE sink due to Merid. Surf. Stress and Strat. drag (<0)
   270 |DTSIMPL |  1 |       |SM P    L1|K               |Surf. Temp Change after 1 implicit time step
   271 |aim_pCO2|  1 |       |SM P    L1|ppm             |Atmospheric CO2
   272 |FSOL    |  1 |       |SM P    L1|W/m^2           |Incoming Solar radiation
   273 |CPL_MxlD|  1 |       |SM      M1|m               |Ocean mixed-layer depth [m] (recv from Coupler)
   274 |CPL_SST |  1 |       |SM      M1|degC            |Ocean surface temperature (recv from Coupler)
   275 |CPL_SSS |  1 |       |SM      M1|g/kg            |Ocean surface salinity    (recv from Coupler)
   276 |CPL_Vel2|  1 |       |SM      M1|m^2/s^2         |Ocean surface velocity square (recv from Coupler)
   277 |CPL_fCO2|  1 |       |SM      M1|mol/m^2/s       |Ocean air-sea flux of CO2 (+=down)(recv fr Coupler)
   278 |CPL_icFr|  1 |       |SM P    M1|0-1             |Seaice fraction (Ocean, recv from Coupler)
   279 |CPL_iceH|  1 |   278 |SM PC   M1|m               |Seaice thickness (Ocean, recv from Coupler)
   280 |CPL_snwH|  1 |   278 |SM PC   M1|m               |Snow thickness over seaice (OCN, recv fr Coupler)
   281 |CPL_Qic1|  1 |   279 |SM  C   M1|J/kg            |Enthalpy of seaice layer 1 (Ocean, recv fr Coupler)
   282 |CPL_Qic2|  1 |   279 |SM  C   M1|J/kg            |Enthalpy of seaice layer 2 (Ocean, recv fr Coupler)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
